src,dst,peak,off_peak,senior_disabled,miles
97,46,2.7,2.4,1.35,4.69
97,2,2.35,2.2,1.15,3.91
97,91,2.05,2.0,1.0,3.09
97,47,2.0,2.0,1.0,1.89
97,52,2.15,2.1,1.05,3.43
97,39,2.5,2.3,1.25,4.27
97,88,3.2,2.6,1.6,5.97
97,79,3.95,3.15,1.95,7.9
97,24,3.25,2.6,1.6,6.08
97,41,3.4,2.6,1.7,6.44
97,18,3.6,2.95,1.8,7.0
97,48,3.9,3.1,1.95,7.69
97,16,4.0,3.15,2.0,8.02
97,58,4.45,3.4,2.2,9.1
97,7,4.95,3.7,2.45,10.37
97,55,5.25,3.85,2.6,11.13
97,94,5.45,3.85,2.7,11.58
97,37,5.9,3.85,2.95,12.76
97,87,6.0,3.85,3.0,14.44
97,89,4.85,3.65,2.4,10.14
97,27,5.35,3.85,2.65,11.38
97,14,5.7,3.85,2.85,12.28
97,71,6.0,3.85,3.0,13.45
97,3,6.0,3.85,3.0,14.54
97,31,6.0,3.85,3.0,16.53
97,102,6.0,3.85,3.0,19.79
97,75,4.35,3.35,2.15,8.93
97,30,4.55,3.4,2.25,9.41
97,92,4.75,3.4,2.35,9.85
97,85,4.95,3.65,2.45,10.33
97,99,5.7,3.85,2.85,12.31
97,98,6.0,3.85,3.0,13.78
97,6,6.0,3.85,3.0,16.16
97,19,6.0,3.85,3.0,18.58
97,76,6.0,3.85,3.0,15.27
97,51,6.0,3.85,3.0,15.91
97,61,6.0,3.85,3.0,16.6
97,69,6.0,3.85,3.0,17.07
97,8,6.0,3.85,3.0,22.48
97,74,6.0,3.85,3.0,23.56
97,28,6.0,3.85,3.0,24.9
97,29,6.0,3.85,3.0,26.56
97,84,6.0,3.85,3.0,28.49
97,90,6.0,3.85,3.0,30.25
97,44,6.0,3.85,3.0,32.09
9,81,3.8,3.05,1.9,7.54
9,73,3.9,3.1,1.95,7.78
9,25,3.9,3.1,1.95,7.81
9,36,3.95,3.15,1.95,7.92
9,49,4.0,3.15,2.0,8.01
9,43,4.05,3.2,2.0,8.11
9,42,4.3,3.3,2.15,8.74
9,82,4.4,3.4,2.2,8.98
9,4,4.7,3.4,2.35,9.69
9,45,4.9,3.65,2.45,10.27
9,35,5.6,3.85,2.8,11.94
9,21,6.0,3.85,3.0,13.21
9,5,6.0,3.85,3.0,14.26
9,62,6.0,3.85,3.0,16.27
9,17,6.0,3.85,3.0,18.85
9,63,3.75,3.05,1.85,7.41
9,50,3.75,3.0,1.85,7.35
9,100,3.6,2.95,1.8,7.02
9,20,3.0,2.6,1.5,5.45
9,12,2.65,2.4,1.3,4.65
9,101,2.1,2.05,1.05,3.3
9,97,2.0,2.0,1.0,1.41
9,86,2.0,2.0,1.0,1.64
9,54,2.1,2.05,1.05,3.24
9,22,2.8,2.5,1.4,4.95
9,83,3.35,2.6,1.65,6.4
9,64,3.8,3.05,1.9,7.54
9,59,3.85,3.1,1.9,7.67
9,72,3.95,3.15,1.95,7.86
9,95,4.05,3.2,2.0,8.18
9,32,4.45,3.4,2.2,9.13
9,77,4.75,3.4,2.35,9.93
9,10,4.85,3.6,2.4,10.07
9,40,5.05,3.75,2.5,10.65
9,68,5.25,3.85,2.6,11.11
9,57,5.4,3.85,2.7,11.52
9,33,6.0,3.85,3.0,13.04
9,80,6.0,3.85,3.0,14.42
9,65,6.0,3.85,3.0,15.03
9,34,6.0,3.85,3.0,15.63
9,13,6.0,3.85,3.0,16.14
9,23,3.95,3.15,1.95,7.85
9,93,4.1,3.2,2.05,8.22
9,60,4.15,3.25,2.05,8.32
9,11,4.2,3.25,2.1,8.5
9,66,4.35,3.35,2.15,8.83
9,70,4.45,3.4,2.2,9.16
9,56,4.65,3.4,2.3,9.66
9,1,4.75,3.4,2.35,9.9
9,53,5.2,3.8,2.6,10.97
9,67,5.35,3.85,2.65,11.36
9,96,5.65,3.85,2.8,12.09
9,26,6.0,3.85,3.0,13.24
9,38,6.0,3.85,3.0,14.23
9,78,3.55,2.6,1.75,6.84
9,15,3.35,2.6,1.65,6.37
9,46,3.2,2.6,1.6,6.0
9,2,2.85,2.55,1.4,5.18
9,91,2.55,2.35,1.25,4.41
9,47,2.1,2.05,1.05,3.3
9,52,2.7,2.45,1.35,4.77
9,39,3.0,2.6,1.5,5.52
9,88,3.65,2.95,1.8,7.08
9,79,4.3,3.35,2.15,8.77
9,24,3.75,3.05,1.85,7.41
9,41,3.9,3.1,1.95,7.76
9,18,4.15,3.25,2.05,8.32
9,48,4.4,3.4,2.2,9.02
9,16,4.55,3.4,2.25,9.38
9,58,5.0,3.7,2.5,10.47
9,7,5.5,3.85,2.75,11.75
9,55,5.8,3.85,2.9,12.52
9,94,6.0,3.85,3.0,12.98
9,37,6.0,3.85,3.0,14.17
9,87,6.0,3.85,3.0,15.85
9,89,5.4,3.85,2.7,11.55
9,27,5.9,3.85,2.95,12.78
9,14,6.0,3.85,3.0,13.66
9,71,6.0,3.85,3.0,14.8
9,3,6.0,3.85,3.0,15.86
9,31,6.0,3.85,3.0,17.65
9,102,6.0,3.85,3.0,20.87
9,75,4.8,3.6,2.4,10.02
9,30,5.0,3.7,2.5,10.47
9,92,5.15,3.8,2.55,10.9
9,85,5.35,3.85,2.65,11.35
9,99,6.0,3.85,3.0,13.19
9,98,6.0,3.85,3.0,14.52
9,6,6.0,3.85,3.0,16.9
9,19,6.0,3.85,3.0,19.28
9,76,6.0,3.85,3.0,15.88
9,51,6.0,3.85,3.0,16.53
9,61,6.0,3.85,3.0,17.2
9,69,6.0,3.85,3.0,17.63
9,8,6.0,3.85,3.0,22.93
9,74,6.0,3.85,3.0,23.99
9,28,6.0,3.85,3.0,25.33
9,29,6.0,3.85,3.0,26.96
9,84,6.0,3.85,3.0,28.9
9,90,6.0,3.85,3.0,30.6
9,44,6.0,3.85,3.0,32.41
86,81,4.45,3.4,2.2,9.14
86,73,4.55,3.4,2.25,9.34
86,25,4.55,3.4,2.25,9.37
86,36,4.55,3.4,2.25,9.43
86,49,4.6,3.4,2.3,9.49
86,43,4.6,3.4,2.3,9.54
86,42,4.8,3.6,2.4,10.05
86,82,4.85,3.65,2.4,10.18
86,4,5.0,3.7,2.5,10.56
86,45,5.15,3.8,2.55,10.9
86,35,5.65,3.85,2.8,12.18
86,21,6.0,3.85,3.0,13.36
86,5,6.0,3.85,3.0,14.38
86,62,6.0,3.85,3.0,16.38
86,17,6.0,3.85,3.0,18.93
86,63,4.4,3.4,2.2,9.01
86,50,4.4,3.35,2.2,8.96
86,100,4.25,3.3,2.1,8.65
86,20,3.65,2.95,1.8,7.09
86,12,3.3,2.6,1.65,6.29
86,101,2.8,2.45,1.4,4.94
86,97,2.0,2.0,1.0,3.05
86,9,2.0,2.0,1.0,1.64
86,54,2.0,2.0,1.0,1.61
86,22,2.15,2.1,1.05,3.33
86,83,4.0,3.15,2.0,8.03
86,64,4.45,3.4,2.2,9.14
86,59,4.5,3.4,2.25,9.25
86,72,4.55,3.4,2.25,9.43
86,95,4.7,3.4,2.35,9.72
86,32,5.05,3.75,2.5,10.61
86,77,5.4,3.85,2.7,11.44
86,10,5.45,3.85,2.7,11.61
86,40,5.65,3.85,2.8,12.17
86,68,5.85,3.85,2.9,12.66
86,57,6.0,3.85,3.0,13.08
86,33,6.0,3.85,3.0,14.6
86,80,6.0,3.85,3.0,15.97
86,65,6.0,3.85,3.0,16.57
86,34,6.0,3.85,3.0,17.16
86,13,6.0,3.85,3.0,17.66
86,23,4.6,3.4,2.3,9.44
86,93,4.7,3.4,2.35,9.81
86,60,4.75,3.4,2.35,9.92
86,11,4.85,3.6,2.4,10.11
86,66,5.0,3.7,2.5,10.46
86,70,5.1,3.75,2.55,10.79
86,56,5.3,3.85,2.65,11.29
86,1,5.4,3.85,2.7,11.54
86,53,5.85,3.85,2.9,12.59
86,67,6.0,3.85,3.0,12.96
86,96,6.0,3.85,3.0,13.66
86,26,6.0,3.85,3.0,14.73
86,38,6.0,3.85,3.0,15.65
86,78,4.2,3.25,2.1,8.45
86,15,4.0,3.15,2.0,7.97
86,46,3.85,3.1,1.9,7.59
86,2,3.5,2.6,1.75,6.77
86,91,3.2,2.6,1.6,6.02
86,47,2.8,2.45,1.4,4.94
86,52,3.35,2.6,1.65,6.34
86,39,3.6,2.95,1.8,7.01
86,88,4.15,3.25,2.05,8.43
86,79,4.75,3.4,2.35,9.88
86,24,4.4,3.4,2.2,9.01
86,41,4.55,3.4,2.25,9.37
86,18,4.75,3.4,2.35,9.92
86,48,5.05,3.75,2.5,10.63
86,16,5.2,3.8,2.6,11.0
86,58,5.65,3.85,2.8,12.09
86,7,6.0,3.85,3.0,13.38
86,55,6.0,3.85,3.0,14.16
86,94,6.0,3.85,3.0,14.62
86,37,6.0,3.85,3.0,15.81
86,87,6.0,3.85,3.0,17.49
86,89,6.0,3.85,3.0,13.17
86,27,6.0,3.85,3.0,14.38
86,14,6.0,3.85,3.0,15.25
86,71,6.0,3.85,3.0,16.35
86,3,6.0,3.85,3.0,17.38
86,31,6.0,3.85,3.0,19.08
86,102,6.0,3.85,3.0,22.26
86,75,5.4,3.85,2.7,11.45
86,30,5.55,3.85,2.75,11.88
86,92,5.7,3.85,2.85,12.29
86,85,5.9,3.85,2.95,12.71
86,99,6.0,3.85,3.0,14.41
86,98,6.0,3.85,3.0,15.61
86,6,6.0,3.85,3.0,17.95
86,19,6.0,3.85,3.0,20.27
86,76,6.0,3.85,3.0,16.82
86,51,6.0,3.85,3.0,17.47
86,61,6.0,3.85,3.0,18.11
86,69,6.0,3.85,3.0,18.5
86,8,6.0,3.85,3.0,23.63
86,74,6.0,3.85,3.0,24.67
86,28,6.0,3.85,3.0,26.0
86,29,6.0,3.85,3.0,27.6
86,84,6.0,3.85,3.0,29.54
86,90,6.0,3.85,3.0,31.15
86,44,6.0,3.85,3.0,32.93
54,81,5.1,3.75,2.55,10.74
54,73,5.2,3.8,2.6,10.94
54,25,5.2,3.8,2.6,10.95
54,36,5.2,3.8,2.6,11.01
54,49,5.2,3.8,2.6,11.04
54,43,5.25,3.85,2.6,11.08
54,42,5.4,3.85,2.7,11.53
54,82,5.45,3.85,2.7,11.61
54,4,5.55,3.85,2.75,11.82
54,45,5.6,3.85,2.8,11.99
54,35,5.9,3.85,2.95,12.74
54,21,6.0,3.85,3.0,13.69
54,5,6.0,3.85,3.0,14.61
54,62,6.0,3.85,3.0,16.56
54,17,6.0,3.85,3.0,19.04
54,63,5.05,3.75,2.5,10.61
54,50,5.05,3.7,2.5,10.57
54,100,4.9,3.65,2.45,10.25
54,20,4.3,3.3,2.15,8.69
54,12,3.95,3.15,1.95,7.88
54,101,3.4,2.6,1.7,6.53
54,97,2.65,2.4,1.3,4.64
54,9,2.1,2.05,1.05,3.24
54,86,2.0,2.0,1.0,1.61
54,22,2.0,2.0,1.0,1.72
54,83,4.65,3.4,2.3,9.64
54,64,5.1,3.75,2.55,10.74
54,59,5.15,3.8,2.55,10.84
54,72,5.2,3.8,2.6,11.02
54,95,5.3,3.85,2.65,11.3
54,32,5.65,3.85,2.8,12.15
54,77,6.0,3.85,3.0,13.0
54,10,6.0,3.85,3.0,13.18
54,40,6.0,3.85,3.0,13.74
54,68,6.0,3.85,3.0,14.24
54,57,6.0,3.85,3.0,14.67
54,33,6.0,3.85,3.0,16.18
54,80,6.0,3.85,3.0,17.55
54,65,6.0,3.85,3.0,18.14
54,34,6.0,3.85,3.0,18.72
54,13,6.0,3.85,3.0,19.22
54,23,5.2,3.8,2.6,11.04
54,93,5.35,3.85,2.65,11.41
54,60,5.4,3.85,2.7,11.52
54,11,5.5,3.85,2.75,11.72
54,66,5.6,3.85,2.8,12.06
54,70,5.75,3.85,2.85,12.4
54,56,5.95,3.85,2.95,12.9
54,1,6.0,3.85,3.0,13.14
54,53,6.0,3.85,3.0,14.16
54,67,6.0,3.85,3.0,14.51
54,96,6.0,3.85,3.0,15.17
54,26,6.0,3.85,3.0,16.16
54,38,6.0,3.85,3.0,17.01
54,78,4.8,3.6,2.4,10.05
54,15,4.65,3.4,2.3,9.58
54,46,4.5,3.4,2.25,9.2
54,2,4.15,3.25,2.05,8.37
54,91,3.85,3.1,1.9,7.63
54,47,3.4,2.6,1.7,6.53
54,52,3.95,3.15,1.95,7.86
54,39,4.2,3.25,2.1,8.47
54,88,4.7,3.4,2.35,9.76
54,79,5.2,3.8,2.6,10.98
54,24,5.05,3.75,2.5,10.61
54,41,5.2,3.8,2.6,10.97
54,18,5.4,3.85,2.7,11.52
54,48,5.7,3.85,2.85,12.23
54,16,5.85,3.85,2.9,12.61
54,58,6.0,3.85,3.0,13.7
54,7,6.0,3.85,3.0,14.98
54,55,6.0,3.85,3.0,15.76
54,94,6.0,3.85,3.0,16.22
54,37,6.0,3.85,3.0,17.4
54,87,6.0,3.85,3.0,19.07
54,89,6.0,3.85,3.0,14.74
54,27,6.0,3.85,3.0,15.92
54,14,6.0,3.85,3.0,16.78
54,71,6.0,3.85,3.0,17.83
54,3,6.0,3.85,3.0,18.82
54,31,6.0,3.85,3.0,20.58
54,102,6.0,3.85,3.0,23.73
54,75,6.0,3.85,3.0,12.97
54,30,6.0,3.85,3.0,13.39
54,92,6.0,3.85,3.0,13.78
54,85,6.0,3.85,3.0,14.18
54,99,6.0,3.85,3.0,15.77
54,98,6.0,3.85,3.0,16.86
54,6,6.0,3.85,3.0,19.17
54,19,6.0,3.85,3.0,21.43
54,76,6.0,3.85,3.0,17.96
54,51,6.0,3.85,3.0,18.59
54,61,6.0,3.85,3.0,19.21
54,69,6.0,3.85,3.0,19.55
54,8,6.0,3.85,3.0,24.5
54,74,6.0,3.85,3.0,25.51
54,28,6.0,3.85,3.0,26.82
54,29,6.0,3.85,3.0,28.38
54,84,6.0,3.85,3.0,30.32
54,90,6.0,3.85,3.0,31.84
54,44,6.0,3.85,3.0,33.59
22,81,5.8,3.85,2.9,12.46
22,73,5.85,3.85,2.9,12.66
22,25,5.85,3.85,2.9,12.67
22,36,5.9,3.85,2.95,12.73
22,49,5.9,3.85,2.95,12.76
22,43,5.9,3.85,2.95,12.79
22,42,6.0,3.85,3.0,13.21
22,82,6.0,3.85,3.0,13.27
22,4,6.0,3.85,3.0,13.41
22,45,6.0,3.85,3.0,13.5
22,35,6.0,3.85,3.0,13.9
22,21,6.0,3.85,3.0,14.5
22,5,6.0,3.85,3.0,15.21
22,62,6.0,3.85,3.0,17.01
22,17,6.0,3.85,3.0,19.33
22,63,5.75,3.85,2.85,12.34
22,50,5.7,3.85,2.85,12.29
22,100,5.6,3.85,2.8,11.97
22,20,4.95,3.7,2.45,10.39
22,12,4.65,3.4,2.3,9.58
22,101,4.1,3.2,2.05,8.22
22,97,3.35,2.6,1.65,6.34
22,9,2.8,2.5,1.4,4.95
22,86,2.15,2.1,1.05,3.33
22,54,2.0,2.0,1.0,1.72
22,83,5.35,3.85,2.65,11.35
22,64,5.8,3.85,2.9,12.46
22,59,5.85,3.85,2.9,12.57
22,72,5.9,3.85,2.95,12.74
22,95,6.0,3.85,3.0,13.02
22,32,6.0,3.85,3.0,13.86
22,77,6.0,3.85,3.0,14.71
22,10,6.0,3.85,3.0,14.9
22,40,6.0,3.85,3.0,15.46
22,68,6.0,3.85,3.0,15.96
22,57,6.0,3.85,3.0,16.39
22,33,6.0,3.85,3.0,17.9
22,80,6.0,3.85,3.0,19.27
22,65,6.0,3.85,3.0,19.86
22,34,6.0,3.85,3.0,20.43
22,13,6.0,3.85,3.0,20.93
22,23,5.9,3.85,2.95,12.76
22,93,6.0,3.85,3.0,13.13
22,60,6.0,3.85,3.0,13.25
22,11,6.0,3.85,3.0,13.44
22,66,6.0,3.85,3.0,13.78
22,70,6.0,3.85,3.0,14.11
22,56,6.0,3.85,3.0,14.61
22,1,6.0,3.85,3.0,14.84
22,53,6.0,3.85,3.0,15.82
22,67,6.0,3.85,3.0,16.14
22,96,6.0,3.85,3.0,16.76
22,26,6.0,3.85,3.0,17.68
22,38,6.0,3.85,3.0,18.45
22,78,5.5,3.85,2.75,11.78
22,15,5.3,3.85,2.65,11.3
22,46,5.15,3.8,2.55,10.92
22,2,4.85,3.6,2.4,10.09
22,91,4.55,3.4,2.25,9.35
22,47,4.1,3.2,2.05,8.22
22,52,4.6,3.4,2.3,9.49
22,39,4.8,3.6,2.4,10.04
22,88,5.3,3.85,2.65,11.22
22,79,5.7,3.85,2.85,12.22
22,24,5.75,3.85,2.85,12.34
22,41,5.9,3.85,2.95,12.69
22,18,6.0,3.85,3.0,13.25
22,48,6.0,3.85,3.0,13.96
22,16,6.0,3.85,3.0,14.33
22,58,6.0,3.85,3.0,15.42
22,7,6.0,3.85,3.0,16.7
22,55,6.0,3.85,3.0,17.47
22,94,6.0,3.85,3.0,17.92
22,37,6.0,3.85,3.0,19.08
22,87,6.0,3.85,3.0,20.74
22,89,6.0,3.85,3.0,16.39
22,27,6.0,3.85,3.0,17.54
22,14,6.0,3.85,3.0,18.38
22,71,6.0,3.85,3.0,19.39
22,3,6.0,3.85,3.0,20.34
22,31,6.0,3.85,3.0,22.25
22,102,6.0,3.85,3.0,25.38
22,75,6.0,3.85,3.0,14.66
22,30,6.0,3.85,3.0,15.07
22,92,6.0,3.85,3.0,15.45
22,85,6.0,3.85,3.0,15.84
22,99,6.0,3.85,3.0,17.36
22,98,6.0,3.85,3.0,18.37
22,6,6.0,3.85,3.0,20.64
22,19,6.0,3.85,3.0,22.83
22,76,6.0,3.85,3.0,19.37
22,51,6.0,3.85,3.0,19.99
22,61,6.0,3.85,3.0,20.58
22,69,6.0,3.85,3.0,20.89
22,8,6.0,3.85,3.0,25.65
22,74,6.0,3.85,3.0,26.62
22,28,6.0,3.85,3.0,27.91
22,29,6.0,3.85,3.0,29.42
22,84,6.0,3.85,3.0,31.36
22,90,6.0,3.85,3.0,32.78
22,44,6.0,3.85,3.0,34.49
83,81,2.0,2.0,1.0,1.72
83,73,2.0,2.0,1.0,2.37
83,25,2.0,2.0,1.0,2.73
83,36,2.3,2.2,1.15,3.72
83,49,2.55,2.35,1.25,4.36
83,43,2.8,2.5,1.4,4.95
83,42,3.2,2.6,1.6,5.98
83,82,3.5,2.6,1.75,6.7
83,4,4.1,3.25,2.05,8.3
83,45,4.5,3.4,2.25,9.27
83,35,5.35,3.85,2.65,11.39
83,21,5.9,3.85,2.95,12.76
83,5,6.0,3.85,3.0,13.85
83,62,6.0,3.85,3.0,15.84
83,17,6.0,3.85,3.0,18.49
83,63,2.0,2.0,1.0,1.44
83,50,2.0,2.0,1.0,1.17
83,100,2.0,2.0,1.0,0.67
83,20,2.0,2.0,1.0,1.07
83,12,2.0,2.0,1.0,1.91
83,101,2.1,2.05,1.05,3.21
83,97,2.8,2.5,1.4,5.02
83,9,3.35,2.6,1.65,6.4
83,86,4.0,3.15,2.0,8.03
83,54,4.65,3.4,2.3,9.64
83,22,5.35,3.85,2.65,11.35
83,64,2.0,2.0,1.0,1.72
83,59,2.0,2.0,1.0,2.05
83,72,2.0,2.0,1.0,2.42
83,95,2.0,2.0,1.0,2.95
83,32,2.5,2.3,1.25,4.19
83,77,2.65,2.4,1.3,4.58
83,10,2.55,2.35,1.25,4.35
83,40,2.75,2.45,1.35,4.93
83,68,2.9,2.55,1.45,5.24
83,57,3.0,2.6,1.5,5.55
83,33,3.6,2.95,1.8,7.01
83,80,4.15,3.25,2.05,8.4
83,65,4.4,3.4,2.2,9.05
83,34,4.7,3.4,2.35,9.71
83,13,4.9,3.65,2.45,10.23
83,23,2.0,2.0,1.0,1.94
83,93,2.0,2.0,1.0,2.25
83,60,2.0,2.0,1.0,2.2
83,11,2.0,2.0,1.0,2.29
83,66,2.0,2.0,1.0,2.5
83,70,2.0,2.0,1.0,2.8
83,56,2.15,2.1,1.05,3.32
83,1,2.25,2.15,1.1,3.66
83,53,2.9,2.55,1.45,5.28
83,67,3.2,2.6,1.6,6.01
83,96,3.65,2.95,1.8,7.12
83,26,4.35,3.35,2.15,8.83
83,38,4.9,3.65,2.45,10.21
83,78,2.0,2.0,1.0,1.63
83,15,2.0,2.0,1.0,1.92
83,46,2.0,2.0,1.0,2.35
83,2,2.05,2.05,1.0,3.12
83,91,2.25,2.15,1.1,3.63
83,47,2.1,2.05,1.05,3.21
83,52,2.6,2.4,1.3,4.54
83,39,3.05,2.6,1.5,5.65
83,88,3.8,3.05,1.9,7.44
83,79,4.75,3.4,2.35,9.85
83,24,2.0,2.0,1.0,1.44
83,41,2.0,2.0,1.0,1.71
83,18,2.0,2.0,1.0,2.2
83,48,2.0,2.0,1.0,2.81
83,16,2.0,2.0,1.0,3.06
83,58,2.45,2.25,1.2,4.11
83,7,2.95,2.6,1.45,5.39
83,55,3.25,2.6,1.6,6.17
83,94,3.5,2.6,1.75,6.7
83,37,4.0,3.15,2.0,7.99
83,87,4.7,3.4,2.35,9.69
83,89,3.1,2.6,1.55,5.78
83,27,3.7,3.0,1.85,7.22
83,14,4.1,3.2,2.05,8.2
83,71,4.65,3.4,2.3,9.63
83,3,5.15,3.8,2.55,10.92
83,31,5.7,3.85,2.85,12.2
83,102,6.0,3.85,3.0,15.51
83,75,2.9,2.55,1.45,5.21
83,30,3.1,2.6,1.55,5.71
83,92,3.25,2.6,1.6,6.17
83,85,3.5,2.6,1.75,6.73
83,99,4.45,3.4,2.2,9.1
83,98,5.2,3.8,2.6,10.95
83,6,6.0,3.85,3.0,13.22
83,19,6.0,3.85,3.0,15.7
83,76,5.95,3.85,2.95,12.85
83,51,6.0,3.85,3.0,13.46
83,61,6.0,3.85,3.0,14.17
83,69,6.0,3.85,3.0,14.75
83,8,6.0,3.85,3.0,20.38
83,74,6.0,3.85,3.0,21.5
83,28,6.0,3.85,3.0,22.84
83,29,6.0,3.85,3.0,24.55
83,84,6.0,3.85,3.0,26.44
83,90,6.0,3.85,3.0,28.44
83,44,6.0,3.85,3.0,30.33
64,73,2.0,2.0,1.0,0.75
64,25,2.0,2.0,1.0,1.23
64,36,2.0,2.0,1.0,2.4
64,49,2.05,2.0,1.0,3.1
64,43,2.3,2.2,1.15,3.73
64,42,2.7,2.4,1.35,4.7
64,82,3.0,2.6,1.5,5.46
64,4,3.65,3.0,1.8,7.14
64,45,4.05,3.2,2.0,8.15
64,35,4.95,3.65,2.45,10.34
64,21,5.5,3.85,2.75,11.72
64,5,5.9,3.85,2.95,12.81
64,62,6.0,3.85,3.0,14.77
64,17,6.0,3.85,3.0,17.44
64,63,2.0,2.0,1.0,0.29
64,50,2.0,2.0,1.0,0.64
64,100,2.0,2.0,1.0,1.21
64,20,2.0,2.0,1.0,2.69
64,12,2.2,2.1,1.1,3.46
64,101,2.6,2.4,1.3,4.55
64,97,3.3,2.6,1.65,6.24
64,9,3.8,3.05,1.9,7.54
64,86,4.45,3.4,2.2,9.14
64,54,5.1,3.75,2.55,10.74
64,22,5.8,3.85,2.9,12.46
64,83,2.0,2.0,1.0,1.72
64,59,2.0,2.0,1.0,0.41
64,72,2.0,2.0,1.0,0.77
64,95,2.0,2.0,1.0,1.28
64,32,2.0,2.0,1.0,2.5
64,77,2.0,2.0,1.0,2.87
64,10,2.0,2.0,1.0,2.97
64,40,2.2,2.15,1.1,3.56
64,68,2.35,2.25,1.15,3.93
64,57,2.5,2.3,1.25,4.29
64,33,3.1,2.6,1.55,5.8
64,80,3.7,3.0,1.85,7.2
64,65,3.95,3.15,1.95,7.82
64,34,4.2,3.25,2.1,8.46
64,13,4.4,3.4,2.2,8.98
64,23,2.0,2.0,1.0,0.3
64,93,2.0,2.0,1.0,0.67
64,60,2.0,2.0,1.0,1.07
64,11,2.0,2.0,1.0,1.31
64,66,2.0,2.0,1.0,1.81
64,70,2.0,2.0,1.0,2.28
64,56,2.0,2.0,1.0,2.89
64,1,2.15,2.1,1.05,3.39
64,53,2.9,2.55,1.45,5.21
64,67,3.2,2.6,1.6,5.98
64,96,3.65,2.95,1.8,7.11
64,26,4.35,3.35,2.15,8.84
64,38,4.9,3.65,2.45,10.22
64,78,2.0,2.0,1.0,0.75
64,15,2.0,2.0,1.0,1.21
64,46,2.0,2.0,1.0,1.55
64,2,2.0,2.0,1.0,2.37
64,91,2.05,2.05,1.0,3.15
64,47,2.6,2.4,1.3,4.55
64,52,3.25,2.6,1.6,6.1
64,39,3.7,3.0,1.85,7.22
64,88,4.4,3.4,2.2,9.04
64,79,5.35,3.85,2.65,11.43
64,24,2.0,2.0,1.0,0.29
64,41,2.0,2.0,1.0,0.56
64,18,2.0,2.0,1.0,1.07
64,48,2.0,2.0,1.0,1.78
64,16,2.0,2.0,1.0,2.26
64,58,2.15,2.1,1.05,3.37
64,7,2.65,2.4,1.3,4.64
64,55,3.0,2.6,1.5,5.49
64,94,3.3,2.6,1.65,6.21
64,37,3.85,3.05,1.9,7.57
64,87,4.5,3.4,2.25,9.26
64,89,3.05,2.6,1.5,5.66
64,27,3.65,2.95,1.8,7.12
64,14,4.05,3.2,2.0,8.1
64,71,4.6,3.4,2.3,9.56
64,3,5.15,3.8,2.55,10.86
64,31,5.15,3.8,2.55,10.83
64,102,6.0,3.85,3.0,14.14
64,75,2.2,2.1,1.1,3.51
64,30,2.4,2.25,1.2,4.0
64,92,2.6,2.35,1.3,4.46
64,85,2.8,2.5,1.4,5.02
64,99,3.75,3.05,1.85,7.41
64,98,4.5,3.4,2.25,9.29
64,6,5.4,3.85,2.7,11.53
64,19,6.0,3.85,3.0,14.01
64,76,5.3,3.85,2.65,11.24
64,51,5.55,3.85,2.75,11.84
64,61,5.8,3.85,2.9,12.55
64,69,6.0,3.85,3.0,13.14
64,8,6.0,3.85,3.0,18.79
64,74,6.0,3.85,3.0,19.91
64,28,6.0,3.85,3.0,21.25
64,29,6.0,3.85,3.0,22.96
64,84,6.0,3.85,3.0,24.84
64,90,6.0,3.85,3.0,26.88
64,44,6.0,3.85,3.0,28.78
59,81,2.0,2.0,1.0,0.41
59,73,2.0,2.0,1.0,0.8
59,25,2.0,2.0,1.0,1.28
59,36,2.0,2.0,1.0,2.46
59,49,2.05,2.05,1.0,3.16
59,43,2.3,2.2,1.15,3.79
59,42,2.7,2.45,1.35,4.75
59,82,3.0,2.6,1.5,5.52
59,4,3.7,3.0,1.85,7.2
59,45,4.1,3.2,2.05,8.22
59,35,4.95,3.7,2.45,10.41
59,21,5.5,3.85,2.75,11.79
59,5,5.95,3.85,2.95,12.89
59,62,6.0,3.85,3.0,14.84
59,17,6.0,3.85,3.0,17.51
59,63,2.0,2.0,1.0,0.67
59,50,2.0,2.0,1.0,1.04
59,100,2.0,2.0,1.0,1.59
59,20,2.0,2.0,1.0,2.97
59,12,2.3,2.15,1.15,3.7
59,101,2.7,2.4,1.35,4.74
59,97,3.35,2.6,1.65,6.38
59,9,3.85,3.1,1.9,7.67
59,86,4.5,3.4,2.25,9.25
59,54,5.15,3.8,2.55,10.84
59,22,5.85,3.85,2.9,12.57
59,83,2.0,2.0,1.0,2.05
59,64,2.0,2.0,1.0,0.41
59,72,2.0,2.0,1.0,0.38
59,95,2.0,2.0,1.0,0.9
59,32,2.0,2.0,1.0,2.14
59,77,2.0,2.0,1.0,2.57
59,10,2.1,2.05,1.05,3.22
59,40,2.3,2.2,1.15,3.81
59,68,2.5,2.3,1.25,4.21
59,57,2.65,2.4,1.3,4.59
59,33,3.25,2.6,1.6,6.11
59,80,3.8,3.05,1.9,7.5
59,65,4.05,3.2,2.0,8.12
59,34,4.3,3.35,2.15,8.75
59,13,4.5,3.4,2.25,9.26
59,23,2.0,2.0,1.0,0.67
59,93,2.0,2.0,1.0,1.03
59,60,2.0,2.0,1.0,1.46
59,11,2.0,2.0,1.0,1.71
59,66,2.0,2.0,1.0,2.21
59,70,2.0,2.0,1.0,2.69
59,56,2.1,2.05,1.05,3.3
