src,dst,peak,off_peak,senior_disabled,miles
73,65,4.15,3.25,2.05,8.32
73,34,4.4,3.35,2.2,8.94
73,13,4.6,3.4,2.3,9.45
73,23,2.0,2.0,1.0,0.99
73,93,2.0,2.0,1.0,1.32
73,60,2.0,2.0,1.0,1.77
73,11,2.0,2.0,1.0,2.04
73,66,2.0,2.0,1.0,2.55
73,70,2.0,2.0,1.0,3.03
73,56,2.25,2.15,1.1,3.64
73,1,2.45,2.3,1.2,4.13
73,53,3.15,2.6,1.55,5.91
73,67,3.45,2.6,1.7,6.67
73,96,3.9,3.1,1.95,7.78
73,26,4.6,3.4,2.3,9.48
73,38,5.15,3.8,2.55,10.85
73,78,2.0,2.0,1.0,1.31
73,15,2.0,2.0,1.0,1.66
73,46,2.0,2.0,1.0,1.88
73,2,2.0,2.0,1.0,2.61
73,91,2.2,2.1,1.1,3.45
73,47,2.75,2.45,1.35,4.93
73,52,3.45,2.6,1.7,6.58
73,39,3.9,3.1,1.95,7.71
73,88,4.6,3.4,2.3,9.55
73,79,5.55,3.85,2.75,11.9
73,24,2.0,2.0,1.0,1.02
73,41,2.0,2.0,1.0,1.3
73,18,2.0,2.0,1.0,1.77
73,48,2.0,2.0,1.0,2.47
73,16,2.0,2.0,1.0,2.99
73,58,2.45,2.25,1.2,4.1
73,7,2.95,2.55,1.45,5.35
73,55,3.3,2.6,1.65,6.22
73,94,3.6,2.6,1.8,6.95
73,37,4.15,3.25,2.05,8.32
73,87,4.8,3.6,2.4,10.01
73,89,3.35,2.6,1.65,6.38
73,27,3.95,3.15,1.95,7.84
73,14,4.35,3.35,2.15,8.82
73,71,4.9,3.65,2.45,10.27
73,3,5.45,3.85,2.7,11.57
73,31,5.25,3.85,2.6,11.18
73,102,6.0,3.85,3.0,14.47
73,75,2.25,2.15,1.1,3.64
73,30,2.45,2.3,1.2,4.15
73,92,2.65,2.4,1.3,4.61
73,85,2.85,2.55,1.4,5.16
73,99,3.8,3.05,1.9,7.52
73,98,4.55,3.4,2.25,9.37
73,6,5.45,3.85,2.7,11.63
73,19,6.0,3.85,3.0,14.12
73,76,5.3,3.85,2.65,11.3
73,51,5.55,3.85,2.75,11.9
73,61,5.85,3.85,2.9,12.61
73,69,6.0,3.85,3.0,13.2
73,8,6.0,3.85,3.0,18.84
73,74,6.0,3.85,3.0,19.96
73,28,6.0,3.85,3.0,21.3
73,29,6.0,3.85,3.0,23.01
73,84,6.0,3.85,3.0,24.89
73,90,6.0,3.85,3.0,26.92
73,44,6.0,3.85,3.0,28.82
25,81,2.0,2.0,1.0,1.23
25,73,2.0,2.0,1.0,0.51
25,36,2.0,2.0,1.0,1.19
25,49,2.0,2.0,1.0,1.9
25,43,2.0,2.0,1.0,2.53
25,42,2.2,2.1,1.1,3.48
25,82,2.5,2.3,1.25,4.25
25,4,3.2,2.6,1.6,5.94
25,45,3.6,2.6,1.8,6.96
25,35,4.45,3.4,2.2,9.16
25,21,5.0,3.7,2.5,10.54
25,5,5.45,3.85,2.7,11.63
25,62,6.0,3.85,3.0,13.58
25,17,6.0,3.85,3.0,16.25
25,63,2.0,2.0,1.0,1.48
25,50,2.0,2.0,1.0,1.84
25,100,2.0,2.0,1.0,2.37
25,20,2.2,2.15,1.1,3.52
25,12,2.45,2.3,1.2,4.16
25,101,2.8,2.5,1.4,5.05
25,97,3.45,2.6,1.7,6.58
25,9,3.9,3.1,1.95,7.81
25,86,4.55,3.4,2.25,9.37
25,54,5.2,3.8,2.6,10.95
25,22,5.85,3.85,2.9,12.67
25,83,2.0,2.0,1.0,2.73
25,64,2.0,2.0,1.0,1.23
25,59,2.0,2.0,1.0,1.28
25,72,2.0,2.0,1.0,1.37
25,95,2.0,2.0,1.0,1.69
25,32,2.0,2.0,1.0,2.87
25,77,2.2,2.1,1.1,3.48
25,10,2.35,2.2,1.15,3.83
25,40,2.55,2.35,1.25,4.42
25,68,2.75,2.45,1.35,4.87
25,57,2.9,2.55,1.45,5.29
25,33,3.5,2.6,1.75,6.8
25,80,4.05,3.2,2.0,8.18
25,65,4.3,3.35,2.15,8.79
25,34,4.55,3.4,2.25,9.4
25,13,4.75,3.4,2.35,9.91
25,23,2.0,2.0,1.0,1.49
25,93,2.0,2.0,1.0,1.83
25,60,2.0,2.0,1.0,2.28
25,11,2.0,2.0,1.0,2.54
25,66,2.0,2.0,1.0,3.04
25,70,2.2,2.1,1.1,3.5
25,56,2.45,2.25,1.2,4.11
25,1,2.65,2.4,1.3,4.57
25,53,3.3,2.6,1.65,6.3
25,67,3.6,2.95,1.8,7.03
25,96,4.05,3.2,2.0,8.12
25,26,4.7,3.4,2.35,9.79
25,38,5.25,3.85,2.6,11.14
25,78,2.0,2.0,1.0,1.67
25,15,2.0,2.0,1.0,1.91
25,46,2.0,2.0,1.0,2.05
25,2,2.0,2.0,1.0,2.68
25,91,2.2,2.15,1.1,3.54
25,47,2.8,2.5,1.4,5.05
25,52,3.5,2.6,1.75,6.76
25,39,3.95,3.15,1.95,7.89
25,88,4.7,3.4,2.35,9.74
25,79,5.6,3.85,2.8,12.06
25,24,2.0,2.0,1.0,1.48
25,41,2.0,2.0,1.0,1.79
25,18,2.0,2.0,1.0,2.28
25,48,2.0,2.0,1.0,2.98
25,16,2.2,2.1,1.1,3.49
25,58,2.65,2.4,1.3,4.6
25,7,3.15,2.6,1.55,5.85
25,55,3.5,2.6,1.75,6.72
25,94,3.8,3.05,1.9,7.44
25,37,4.3,3.35,2.15,8.8
25,87,5.0,3.7,2.5,10.49
25,89,3.5,2.6,1.75,6.79
25,27,4.1,3.2,2.05,8.24
25,14,4.5,3.4,2.25,9.22
25,71,5.05,3.75,2.5,10.65
25,3,5.6,3.85,2.8,11.94
25,31,5.45,3.85,2.7,11.57
25,102,6.0,3.85,3.0,14.86
25,75,2.35,2.2,1.15,3.9
25,30,2.55,2.35,1.25,4.41
25,92,2.75,2.45,1.35,4.87
25,85,2.95,2.6,1.45,5.42
