Dept,Arriv,ST_Peak,ST_Offpeak,RedST_Peak,RedST_Offpeak
College Park-u Of Md Metro Station,Gallery Pl-chinatown Metro Station,4.05,3.35,2,2
College Park-u Of Md Metro Station,Mount Vernon Square Metro Station,3.9,3.25,1.95,1.95
College Park-u Of Md Metro Station,U Street Metro Station,3.7,3.1,1.85,1.85
College Park-u Of Md Metro Station,Union Station Metro Station,3.85,3.2,1.9,1.9
College Park-u Of Md Metro Station,Congress Heights Metro Station,5.05,3.85,2.5,2.5
College Park-u Of Md Metro Station,Naylor Road Metro Station,5.25,3.85,2.6,2.6
College Park-u Of Md Metro Station,Suitland Metro Station,5.5,3.85,2.75,2.75
College Park-u Of Md Metro Station,Branch Ave Metro Station,5.95,3.85,2.95,2.95
College Park-u Of Md Metro Station,Braddock Road Metro Station,6,3.85,3,3
College Park-u Of Md Metro Station,King Street Metro Station,6,3.85,3,3
College Park-u Of Md Metro Station,Eisenhower Avenue Metro Station,6,3.85,3,3
College Park-u Of Md Metro Station,Huntington Metro Station,6,3.85,3,3
College Park-u Of Md Metro Station,Anacostia Metro Station,4.7,3.85,2.35,2.35
College Park-u Of Md Metro Station,Eastern Market Metro Station,4.35,3.4,2.15,2.15
College Park-u Of Md Metro Station,Potomac Ave Metro Station,4.45,3.65,2.2,2.2
College Park-u Of Md Metro Station,Stadium-armory Metro Station,4.45,3.65,2.2,2.2
College Park-u Of Md Metro Station,Rhode Island Ave Metro Station,3.35,2.6,1.65,1.65
College Park-u Of Md Metro Station,Minnesota Ave Metro Station,4.6,3.75,2.3,2.3
College Park-u Of Md Metro Station,Van Ness-udc Metro Station,4.65,3.8,2.3,2.3
College Park-u Of Md Metro Station,Cleveland Park Metro Station,4.55,3.75,2.25,2.25
College Park-u Of Md Metro Station,Columbia Heights Metro Station,3.55,3,1.75,1.75
College Park-u Of Md Metro Station,Spring Hill Metro Station,6,3.85,3,3
College Park-u Of Md Metro Station,Greensboro Metro Station,6,3.85,3,3
College Park-u Of Md Metro Station,Tysons Corner Metro Station,6,3.85,3,3
College Park-u Of Md Metro Station,Mclean Metro Station,6,3.85,3,3
College Park-u Of Md Metro Station,Wiehle-reston East Metro Station,6,3.85,3,3
Capitol Heights Metro Station,College Park-u Of Md Metro Station,4.95,3.85,2.45,2.45
Capitol Heights Metro Station,Capitol Heights Metro Station,0,0,0,0
Capitol Heights Metro Station,Morgan Boulevard Metro Station,2.25,2,1.1,1.1
Capitol Heights Metro Station,Georgia Ave-petworth Metro Station,4.05,3.35,2,2
Capitol Heights Metro Station,Takoma Metro Station,4.8,3.85,2.4,2.4
Capitol Heights Metro Station,Glenmont Metro Station,6,3.85,3,3
Capitol Heights Metro Station,Wheaton Metro Station,6,3.85,3,3
Capitol Heights Metro Station,Forest Glen Metro Station,5.65,3.85,2.8,2.8
Capitol Heights Metro Station,Silver Spring Metro Station,5.2,3.85,2.6,2.6
Capitol Heights Metro Station,Brookland-cua Metro Station,3.9,3.25,1.95,1.95
Capitol Heights Metro Station,Fort Totten Metro Station,4.25,3.4,2.1,2.1
Capitol Heights Metro Station,Prince George's Plaza Metro Station,4.6,3.75,2.3,2.3
Capitol Heights Metro Station,West Hyattsville Metro Station,4.4,3.6,2.2,2.2
Capitol Heights Metro Station,Benning Road Metro Station,2.25,2,1.1,1.1
Capitol Heights Metro Station,Addison Road-seat Pleasant Metro Station,2.25,2,1.1,1.1
Capitol Heights Metro Station,Deanwood Metro Station,2.7,2.35,1.35,1.35
Capitol Heights Metro Station,New Carrollton Metro Station,3.8,3.15,1.9,1.9
Capitol Heights Metro Station,Landover Metro Station,3.4,2.6,1.7,1.7
Capitol Heights Metro Station,Cheverly Metro Station,2.9,2.5,1.45,1.45
Capitol Heights Metro Station,Largo Town Center Metro Station,2.5,2.2,1.25,1.25
Capitol Heights Metro Station,Noma Metro,3.6,3,1.8,1.8
Capitol Heights Metro Station,Rosslyn Metro Station,4.25,3.4,2.1,2.1
Capitol Heights Metro Station,Arlington Cemetery Metro Station,4.2,3.4,2.1,2.1
Capitol Heights Metro Station,Dupont Circle Metro Station,3.85,3.2,1.9,1.9
Capitol Heights Metro Station,Pentagon Metro Station,3.95,3.25,1.95,1.95
Capitol Heights Metro Station,Crystal City Metro Station,4.1,3.4,2.05,2.05
Capitol Heights Metro Station,Navy Yard Metro Station,3.4,2.6,1.7,1.5
Capitol Heights Metro Station,Mcpherson Square Metro Station,3.65,3.05,1.8,1.8
Capitol Heights Metro Station,Shaw-howard U Metro,3.65,3.05,1.8,1.8
Capitol Heights Metro Station,Southern Ave Metro Station,3.9,3.2,1.95,1.95
Capitol Heights Metro Station,Greenbelt Metro Station,5.6,3.85,2.8,2.8
Capitol Heights Metro Station,Tenleytown-au Metro Station,4.8,3.85,2.4,2.4
Capitol Heights Metro Station,West Falls Church Metro Station,6,3.85,3,3
Capitol Heights Metro Station,Dunn Loring-merrifield Metro Station,6,3.85,3,3
Capitol Heights Metro Station,Vienna Metro Station,6,3.85,3,3
Capitol Heights Metro Station,Friendship Heights Metro Station,5,3.85,2.5,2.5
Capitol Heights Metro Station,Shady Grove Metro Station,6,3.85,3,3
Capitol Heights Metro Station,Rockville Metro Station,6,3.85,3,3
Capitol Heights Metro Station,Twinbrook Metro Station,6,3.85,3,3
Capitol Heights Metro Station,White Flint Metro Station,6,3.85,3,3
Capitol Heights Metro Station,Grosvenor-strathmore Metro Station,6,3.85,3,3
Capitol Heights Metro Station,Medical Center Metro Station,5.65,3.85,2.8,2.8
Capitol Heights Metro Station,Bethesda Metro Station,5.4,3.85,2.7,2.7
Capitol Heights Metro Station,Foggy Bottom-gwu Metro Station,3.9,3.25,1.95,1.95
Capitol Heights Metro Station,Court House Metro Station,4.55,3.7,2.25,2.25
Capitol Heights Metro Station,Clarendon Metro Station,4.7,3.85,2.35,2.35
Capitol Heights Metro Station,East Falls Church Metro Station,5.65,3.85,2.8,2.8
Capitol Heights Metro Station,Virginia Square-gmu Metro Station,4.8,3.85,2.4,2.4
Capitol Heights Metro Station,Ballston-mu Metro Station,5,3.85,2.5,2.5
Capitol Heights Metro Station,Farragut West Metro Station,3.75,3.15,1.85,1.85
Capitol Heights Metro Station,Farragut North Metro Station,3.75,3.15,1.85,1.85
Capitol Heights Metro Station,Woodley Park-zoo Metro,4.15,3.4,2.05,2.05
Capitol Heights Metro Station,L'enfant Plaza Metro Station,3.35,2.6,1.65,1.65
Capitol Heights Metro Station,Smithsonian Metro Station,3.45,2.6,1.7,1.7
Capitol Heights Metro Station,Pentagon City Metro Station,4.05,3.35,2,2
Capitol Heights Metro Station,Federal Triangle Metro Station,3.5,2.6,1.75,1.75
Capitol Heights Metro Station,Archives-navy Memorial Metro Station,3.4,2.6,1.7,1.7
Capitol Heights Metro Station,Waterfront Metro Station,3.4,2.6,1.7,1.7
Capitol Heights Metro Station,National Airport Metro Station,4.15,3.4,2.05,2.05
Capitol Heights Metro Station,Van Dorn Street Metro Station,6,3.85,3,3
Capitol Heights Metro Station,Franconia-springfield Metro Station,6,3.85,3,3
Capitol Heights Metro Station,Federal Center Sw Metro Station,3.25,2.6,1.6,1.6
Capitol Heights Metro Station,Judiciary Square Metro Station,3.5,2.6,1.75,1.75
Capitol Heights Metro Station,Capitol South Metro Station,3.05,2.6,1.5,1.5
Capitol Heights Metro Station,Metro Center,3.55,2.95,1.75,1.75
Capitol Heights Metro Station,Gallery Pl-chinatown Metro Station,3.45,2.95,1.7,1.75
Capitol Heights Metro Station,Mount Vernon Square Metro Station,3.55,3,1.75,1.75
Capitol Heights Metro Station,U Street Metro Station,3.75,3.15,1.85,1.85
Capitol Heights Metro Station,Union Station Metro Station,3.5,2.6,1.75,1.75
Capitol Heights Metro Station,Congress Heights Metro Station,3.75,3.15,1.85,1.85
Capitol Heights Metro Station,Naylor Road Metro Station,3.9,3.2,1.95,1.95
Capitol Heights Metro Station,Suitland Metro Station,4.05,3.35,2,2
Capitol Heights Metro Station,Branch Ave Metro Station,4.45,3.65,2.2,2.2
Capitol Heights Metro Station,Braddock Road Metro Station,4.85,3.85,2.4,2.4
Capitol Heights Metro Station,King Street Metro Station,5.05,3.85,2.5,2.5
Capitol Heights Metro Station,Eisenhower Avenue Metro Station,5.25,3.85,2.6,2.6
Capitol Heights Metro Station,Huntington Metro Station,5.4,3.85,2.7,2.7
Capitol Heights Metro Station,Anacostia Metro Station,3.55,2.95,1.75,1.75
Capitol Heights Metro Station,Eastern Market Metro Station,2.9,2.5,1.45,1.45
Capitol Heights Metro Station,Potomac Ave Metro Station,2.7,2.35,1.35,1.35
Capitol Heights Metro Station,Stadium-armory Metro Station,2.5,2.2,1.25,1.25
Capitol Heights Metro Station,Rhode Island Ave Metro Station,3.75,3.1,1.85,1.85
Capitol Heights Metro Station,Minnesota Ave Metro Station,2.6,2.25,1.3,1.3
Capitol Heights Metro Station,Van Ness-udc Metro Station,4.5,3.65,2.25,2.25
Capitol Heights Metro Station,Cleveland Park Metro Station,4.35,3.4,2.15,2.15
Capitol Heights Metro Station,Columbia Heights Metro Station,3.95,3.3,1.95,1.95
Capitol Heights Metro Station,Spring Hill Metro Station,6,3.85,3,3
Capitol Heights Metro Station,Greensboro Metro Station,6,3.85,3,3
Capitol Heights Metro Station,Tysons Corner Metro Station,6,3.85,3,3
Capitol Heights Metro Station,Mclean Metro Station,6,3.85,3,3
Capitol Heights Metro Station,Wiehle-reston East Metro Station,6,3.85,3,3
Morgan Boulevard Metro Station,College Park-u Of Md Metro Station,5.4,3.85,2.7,2.7
