Dept,Arriv,ST_Peak,ST_Offpeak,RedST_Peak,RedST_Offpeak
Addison Road-seat Pleasant Metro Station,Union Station Metro Station,3.8,3.15,1.9,1.9
Addison Road-seat Pleasant Metro Station,Congress Heights Metro Station,4,3.3,2,2
Addison Road-seat Pleasant Metro Station,Naylor Road Metro Station,4.1,3.4,2.05,2.05
Addison Road-seat Pleasant Metro Station,Suitland Metro Station,4.25,3.4,2.1,2.1
Addison Road-seat Pleasant Metro Station,Branch Ave Metro Station,4.6,3.75,2.3,2.3
Addison Road-seat Pleasant Metro Station,Braddock Road Metro Station,5.1,3.85,2.55,2.55
Addison Road-seat Pleasant Metro Station,King Street Metro Station,5.3,3.85,2.65,2.65
Addison Road-seat Pleasant Metro Station,Eisenhower Avenue Metro Station,5.5,3.85,2.75,2.75
Addison Road-seat Pleasant Metro Station,Huntington Metro Station,5.6,3.85,2.8,2.8
Addison Road-seat Pleasant Metro Station,Anacostia Metro Station,3.8,3.15,1.9,1.9
Addison Road-seat Pleasant Metro Station,Eastern Market Metro Station,3.2,2.6,1.6,1.6
Addison Road-seat Pleasant Metro Station,Potomac Ave Metro Station,3,2.55,1.5,1.5
Addison Road-seat Pleasant Metro Station,Stadium-armory Metro Station,2.8,2.4,1.4,1.4
Addison Road-seat Pleasant Metro Station,Rhode Island Ave Metro Station,4,3.3,2,2
Addison Road-seat Pleasant Metro Station,Minnesota Ave Metro Station,2.9,2.5,1.45,1.45
Addison Road-seat Pleasant Metro Station,Van Ness-udc Metro Station,4.75,3.85,2.35,2.35
Addison Road-seat Pleasant Metro Station,Cleveland Park Metro Station,4.6,3.75,2.3,2.3
Addison Road-seat Pleasant Metro Station,Columbia Heights Metro Station,4.25,3.4,2.1,2.1
Addison Road-seat Pleasant Metro Station,Spring Hill Metro Station,6,3.85,3,3
Addison Road-seat Pleasant Metro Station,Greensboro Metro Station,6,3.85,3,3
Addison Road-seat Pleasant Metro Station,Tysons Corner Metro Station,6,3.85,3,3
Addison Road-seat Pleasant Metro Station,Mclean Metro Station,6,3.85,3,3
Addison Road-seat Pleasant Metro Station,Wiehle-reston East Metro Station,6,3.85,3,3
Deanwood Metro Station,College Park-u Of Md Metro Station,4.6,3.75,2.3,2.3
Deanwood Metro Station,Capitol Heights Metro Station,2.7,2.35,1.35,1.35
Deanwood Metro Station,Morgan Boulevard Metro Station,3.4,2.6,1.7,1.7
Deanwood Metro Station,Georgia Ave-petworth Metro Station,3.7,3.05,1.85,1.85
Deanwood Metro Station,Takoma Metro Station,4.35,3.4,2.15,2.15
Deanwood Metro Station,Glenmont Metro Station,6,3.85,3,3
Deanwood Metro Station,Wheaton Metro Station,5.7,3.85,2.85,2.85
Deanwood Metro Station,Forest Glen Metro Station,5.25,3.85,2.6,2.6
Deanwood Metro Station,Silver Spring Metro Station,4.75,3.85,2.35,2.35
Deanwood Metro Station,Brookland-cua Metro Station,3.5,2.6,1.75,1.75
Deanwood Metro Station,Fort Totten Metro Station,3.85,3.2,1.9,1.9
Deanwood Metro Station,Prince George's Plaza Metro Station,4.2,3.4,2.1,2.1
Deanwood Metro Station,West Hyattsville Metro Station,4,3.3,2,2
Deanwood Metro Station,Benning Road Metro Station,2.35,2.1,1.15,1.15
Deanwood Metro Station,Addison Road-seat Pleasant Metro Station,3,2.55,1.5,1.5
Deanwood Metro Station,Deanwood Metro Station,0,0,0,0
Deanwood Metro Station,New Carrollton Metro Station,2.7,2.35,1.35,1.35
Deanwood Metro Station,Landover Metro Station,2.25,2,1.1,1.1
Deanwood Metro Station,Cheverly Metro Station,2.25,2,1.1,1.1
Deanwood Metro Station,Largo Town Center Metro Station,3.8,3.15,1.9,1.9
Deanwood Metro Station,Noma Metro,3.25,2.6,1.6,1.6
Deanwood Metro Station,Rosslyn Metro Station,3.95,3.25,1.95,1.95
Deanwood Metro Station,Arlington Cemetery Metro Station,3.85,3.2,1.9,1.9
Deanwood Metro Station,Dupont Circle Metro Station,3.5,2.95,1.75,1.75
Deanwood Metro Station,Pentagon Metro Station,3.65,3.05,1.8,1.8
Deanwood Metro Station,Crystal City Metro Station,3.9,3.2,1.95,1.95
Deanwood Metro Station,Navy Yard Metro Station,3.15,2.6,1.55,1.55
Deanwood Metro Station,Mcpherson Square Metro Station,3.35,2.6,1.65,1.65
Deanwood Metro Station,Shaw-howard U Metro,3.3,2.6,1.65,1.65
Deanwood Metro Station,Southern Ave Metro Station,3.8,3.15,1.9,1.9
Deanwood Metro Station,Greenbelt Metro Station,5.3,3.85,2.65,2.65
Deanwood Metro Station,Tenleytown-au Metro Station,4.4,3.6,2.2,2.2
Deanwood Metro Station,West Falls Church Metro Station,5.9,3.85,2.95,2.95
Deanwood Metro Station,Dunn Loring-merrifield Metro Station,6,3.85,3,3
Deanwood Metro Station,Vienna Metro Station,6,3.85,3,3
Deanwood Metro Station,Friendship Heights Metro Station,4.6,3.75,2.3,2.3
Deanwood Metro Station,Shady Grove Metro Station,6,3.85,3,3
Deanwood Metro Station,Rockville Metro Station,6,3.85,3,3
Deanwood Metro Station,Twinbrook Metro Station,6,3.85,3,3
Deanwood Metro Station,White Flint Metro Station,6,3.85,3,3
Deanwood Metro Station,Grosvenor-strathmore Metro Station,5.8,3.85,2.9,2.9
Deanwood Metro Station,Medical Center Metro Station,5.25,3.85,2.6,2.6
Deanwood Metro Station,Bethesda Metro Station,5,3.85,2.5,2.5
Deanwood Metro Station,Foggy Bottom-gwu Metro Station,3.6,3,1.8,1.8
Deanwood Metro Station,Court House Metro Station,4.25,3.4,2.1,2.1
Deanwood Metro Station,Clarendon Metro Station,4.35,3.4,2.15,2.15
Deanwood Metro Station,East Falls Church Metro Station,5.35,3.85,2.65,2.65
Deanwood Metro Station,Virginia Square-gmu Metro Station,4.5,3.7,2.25,2.25
Deanwood Metro Station,Ballston-mu Metro Station,4.65,3.8,2.3,2.3
Deanwood Metro Station,Farragut West Metro Station,3.45,2.6,1.7,1.7
Deanwood Metro Station,Farragut North Metro Station,3.45,2.6,1.7,1.7
Deanwood Metro Station,Woodley Park-zoo Metro,3.8,3.15,1.9,1.9
Deanwood Metro Station,L'enfant Plaza Metro Station,3,2.55,1.5,1.5
Deanwood Metro Station,Smithsonian Metro Station,3.15,2.6,1.55,1.55
Deanwood Metro Station,Pentagon City Metro Station,3.8,3.15,1.9,1.9
Deanwood Metro Station,Federal Triangle Metro Station,3.2,2.6,1.6,1.6
Deanwood Metro Station,Archives-navy Memorial Metro Station,3.1,2.6,1.55,1.55
Deanwood Metro Station,Waterfront Metro Station,3.15,2.6,1.55,1.55
Deanwood Metro Station,National Airport Metro Station,3.95,3.25,1.95,1.95
Deanwood Metro Station,Van Dorn Street Metro Station,5.85,3.85,2.9,2.9
Deanwood Metro Station,Franconia-springfield Metro Station,6,3.85,3,3
Deanwood Metro Station,Federal Center Sw Metro Station,2.9,2.5,1.45,1.45
Deanwood Metro Station,Judiciary Square Metro Station,3.15,2.6,1.55,1.55
Deanwood Metro Station,Capitol South Metro Station,2.75,2.35,1.35,1.35
Deanwood Metro Station,Metro Center,3.2,2.6,1.6,1.6
Deanwood Metro Station,Gallery Pl-chinatown Metro Station,3.15,2.6,1.55,1.55
Deanwood Metro Station,Mount Vernon Square Metro Station,3.2,2.6,1.6,1.6
Deanwood Metro Station,U Street Metro Station,3.4,2.6,1.7,1.7
Deanwood Metro Station,Union Station Metro Station,3.15,2.6,1.55,1.55
Deanwood Metro Station,Congress Heights Metro Station,3.65,3.05,1.8,1.8
Deanwood Metro Station,Naylor Road Metro Station,3.8,3.15,1.9,1.9
Deanwood Metro Station,Suitland Metro Station,4.05,3.35,2,2
Deanwood Metro Station,Branch Ave Metro Station,4.5,3.7,2.25,2.25
Deanwood Metro Station,Braddock Road Metro Station,4.7,3.8,2.35,2.35
Deanwood Metro Station,King Street Metro Station,4.85,3.85,2.4,2.4
Deanwood Metro Station,Eisenhower Avenue Metro Station,5.05,3.85,2.5,2.5
Deanwood Metro Station,Huntington Metro Station,5.2,3.85,2.6,2.6
Deanwood Metro Station,Anacostia Metro Station,3.35,2.6,1.65,1.65
Deanwood Metro Station,Eastern Market Metro Station,2.55,2.25,1.25,1.25
Deanwood Metro Station,Potomac Ave Metro Station,2.4,2.1,1.2,1.2
Deanwood Metro Station,Stadium-armory Metro Station,2.25,2,1.1,1.1
Deanwood Metro Station,Rhode Island Ave Metro Station,3.35,2.6,1.65,1.65
Deanwood Metro Station,Minnesota Ave Metro Station,2.25,2,1.1,1.1
Deanwood Metro Station,Van Ness-udc Metro Station,4.1,3.4,2.05,2.05
Deanwood Metro Station,Cleveland Park Metro Station,3.95,3.25,1.95,1.95
Deanwood Metro Station,Columbia Heights Metro Station,3.6,3,1.8,1.8
Deanwood Metro Station,Spring Hill Metro Station,6,3.85,3,3
Deanwood Metro Station,Greensboro Metro Station,6,3.85,3,3
Deanwood Metro Station,Tysons Corner Metro Station,6,3.85,3,3
Deanwood Metro Station,Mclean Metro Station,6,3.85,3,3
Deanwood Metro Station,Wiehle-reston East Metro Station,6,3.85,3,3
New Carrollton Metro Station,College Park-u Of Md Metro Station,5.1,3.85,2.55,2.55
New Carrollton Metro Station,Capitol Heights Metro Station,3.8,3.15,1.9,1.9
New Carrollton Metro Station,Morgan Boulevard Metro Station,4.05,3.35,2,2
New Carrollton Metro Station,Georgia Ave-petworth Metro Station,4.75,3.85,2.35,2.35
New Carrollton Metro Station,Takoma Metro Station,5.25,3.85,2.6,2.6
New Carrollton Metro Station,Glenmont Metro Station,6,3.85,3,3
New Carrollton Metro Station,Wheaton Metro Station,6,3.85,3,3
New Carrollton Metro Station,Forest Glen Metro Station,6,3.85,3,3
New Carrollton Metro Station,Silver Spring Metro Station,5.6,3.85,2.8,2.8
New Carrollton Metro Station,Brookland-cua Metro Station,4.6,3.75,2.3,2.3
New Carrollton Metro Station,Fort Totten Metro Station,4.8,3.85,2.4,2.4
New Carrollton Metro Station,Prince George's Plaza Metro Station,4.95,3.85,2.45,2.45
New Carrollton Metro Station,West Hyattsville Metro Station,4.85,3.85,2.4,2.4
New Carrollton Metro Station,Benning Road Metro Station,3.7,3.1,1.85,1.85
New Carrollton Metro Station,Addison Road-seat Pleasant Metro Station,3.9,3.25,1.95,1.95
New Carrollton Metro Station,Deanwood Metro Station,2.7,2.35,1.35,1.35
New Carrollton Metro Station,New Carrollton Metro Station,0,0,0,0
New Carrollton Metro Station,Landover Metro Station,2.25,2,1.1,1.1
New Carrollton Metro Station,Cheverly Metro Station,2.35,2.05,1.15,1.15
New Carrollton Metro Station,Largo Town Center Metro Station,4.25,3.4,2.1,2.1
New Carrollton Metro Station,Noma Metro,4.45,3.65,2.2,2.2
New Carrollton Metro Station,Rosslyn Metro Station,5.15,3.85,2.55,2.55
New Carrollton Metro Station,Arlington Cemetery Metro Station,5.1,3.85,2.55,2.55
New Carrollton Metro Station,Dupont Circle Metro Station,4.7,3.85,2.35,2.35
New Carrollton Metro Station,Pentagon Metro Station,4.9,3.85,2.45,2.45
New Carrollton Metro Station,Crystal City Metro Station,5.15,3.85,2.55,2.55
New Carrollton Metro Station,Navy Yard Metro Station,4.45,3.65,2.2,2.2
New Carrollton Metro Station,Mcpherson Square Metro Station,4.55,3.7,2.25,2.25
New Carrollton Metro Station,Shaw-howard U Metro,4.45,3.65,2.2,2.2
New Carrollton Metro Station,Southern Ave Metro Station,5,3.85,2.5,2.5
New Carrollton Metro Station,Greenbelt Metro Station,5.6,3.85,2.8,2.8
New Carrollton Metro Station,Tenleytown-au Metro Station,5.45,3.85,2.7,2.7
New Carrollton Metro Station,West Falls Church Metro Station,6,3.85,3,3
New Carrollton Metro Station,Dunn Loring-merrifield Metro Station,6,3.85,3,3
New Carrollton Metro Station,Vienna Metro Station,6,3.85,3,3
New Carrollton Metro Station,Friendship Heights Metro Station,5.6,3.85,2.8,2.8
New Carrollton Metro Station,Shady Grove Metro Station,6,3.85,3,3
New Carrollton Metro Station,Rockville Metro Station,6,3.85,3,3
New Carrollton Metro Station,Twinbrook Metro Station,6,3.85,3,3
New Carrollton Metro Station,White Flint Metro Station,6,3.85,3,3
New Carrollton Metro Station,Grosvenor-strathmore Metro Station,6,3.85,3,3
New Carrollton Metro Station,Medical Center Metro Station,6,3.85,3,3
New Carrollton Metro Station,Bethesda Metro Station,5.95,3.85,2.95,2.95
New Carrollton Metro Station,Foggy Bottom-gwu Metro Station,4.8,3.85,2.4,2.4
New Carrollton Metro Station,Court House Metro Station,5.45,3.85,2.7,2.7
New Carrollton Metro Station,Clarendon Metro Station,5.6,3.85,2.8,2.8
New Carrollton Metro Station,East Falls Church Metro Station,6,3.85,3,3
New Carrollton Metro Station,Virginia Square-gmu Metro Station,5.7,3.85,2.85,2.85
New Carrollton Metro Station,Ballston-mu Metro Station,5.9,3.85,2.95,2.95
New Carrollton Metro Station,Farragut West Metro Station,4.65,3.8,2.3,2.3
New Carrollton Metro Station,Farragut North Metro Station,4.65,3.8,2.3,2.3
New Carrollton Metro Station,Woodley Park-zoo Metro,4.9,3.85,2.45,2.45
New Carrollton Metro Station,L'enfant Plaza Metro Station,4.3,3.4,2.15,2.15
New Carrollton Metro Station,Smithsonian Metro Station,4.4,3.6,2.2,2.2
New Carrollton Metro Station,Pentagon City Metro Station,5.1,3.85,2.55,2.55
New Carrollton Metro Station,Federal Triangle Metro Station,4.4,3.65,2.2,2.2
New Carrollton Metro Station,Archives-navy Memorial Metro Station,4.35,3.4,2.15,2.15
New Carrollton Metro Station,Waterfront Metro Station,4.4,3.6,2.2,2.2
New Carrollton Metro Station,National Airport Metro Station,5.2,3.85,2.6,2.6
New Carrollton Metro Station,Van Dorn Street Metro Station,6,3.85,3,3
New Carrollton Metro Station,Franconia-springfield Metro Station,6,3.85,3,3
New Carrollton Metro Station,Federal Center Sw Metro Station,4.2,3.4,2.1,2.1
New Carrollton Metro Station,Judiciary Square Metro Station,4.4,3.6,2.2,2.2
New Carrollton Metro Station,Capitol South Metro Station,4.05,3.35,2,2
New Carrollton Metro Station,Metro Center,4.45,3.65,2.2,2.2
New Carrollton Metro Station,Gallery Pl-chinatown Metro Station,4.35,3.4,2.15,2.15
New Carrollton Metro Station,Mount Vernon Square Metro Station,4.4,3.6,2.2,2.2
New Carrollton Metro Station,U Street Metro Station,4.55,3.75,2.25,2.25
New Carrollton Metro Station,Union Station Metro Station,4.4,3.6,2.2,2.2
New Carrollton Metro Station,Congress Heights Metro Station,4.9,3.85,2.45,2.45
New Carrollton Metro Station,Naylor Road Metro Station,5.05,3.85,2.5,2.5
New Carrollton Metro Station,Suitland Metro Station,5.2,3.85,2.6,2.6
New Carrollton Metro Station,Branch Ave Metro Station,5.55,3.85,2.75,2.75
New Carrollton Metro Station,Braddock Road Metro Station,5.95,3.85,2.95,2.95
New Carrollton Metro Station,King Street Metro Station,6,3.85,3,3
New Carrollton Metro Station,Eisenhower Avenue Metro Station,6,3.85,3,3
New Carrollton Metro Station,Huntington Metro Station,6,3.85,3,3
New Carrollton Metro Station,Anacostia Metro Station,4.6,3.75,2.3,2.3
New Carrollton Metro Station,Eastern Market Metro Station,3.9,3.25,1.95,1.95
New Carrollton Metro Station,Potomac Ave Metro Station,3.8,3.15,1.9,1.9
New Carrollton Metro Station,Stadium-armory Metro Station,3.6,3,1.8,1.8
New Carrollton Metro Station,Rhode Island Ave Metro Station,4.5,3.7,2.25,2.25
New Carrollton Metro Station,Minnesota Ave Metro Station,3,2.55,1.5,1.5
New Carrollton Metro Station,Van Ness-udc Metro Station,5.15,3.85,2.55,2.55
New Carrollton Metro Station,Cleveland Park Metro Station,5.05,3.85,2.5,2.5
New Carrollton Metro Station,Columbia Heights Metro Station,4.7,3.85,2.35,2.35
New Carrollton Metro Station,Spring Hill Metro Station,6,3.85,3,3
New Carrollton Metro Station,Greensboro Metro Station,6,3.85,3,3
New Carrollton Metro Station,Tysons Corner Metro Station,6,3.85,3,3
New Carrollton Metro Station,Mclean Metro Station,6,3.85,3,3
New Carrollton Metro Station,Wiehle-reston East Metro Station,6,3.85,3,3
Landover Metro Station,College Park-u Of Md Metro Station,4.85,3.85,2.4,2.4
Landover Metro Station,Capitol Heights Metro Station,3.4,2.6,1.7,1.7
Landover Metro Station,Morgan Boulevard Metro Station,3.75,3.1,1.85,1.85
Landover Metro Station,Georgia Ave-petworth Metro Station,4.4,3.6,2.2,2.2
Landover Metro Station,Takoma Metro Station,4.95,3.85,2.45,2.45
Landover Metro Station,Glenmont Metro Station,6,3.85,3,3
Landover Metro Station,Wheaton Metro Station,6,3.85,3,3
Landover Metro Station,Forest Glen Metro Station,5.75,3.85,2.85,2.85
Landover Metro Station,Silver Spring Metro Station,5.3,3.85,2.65,2.65
Landover Metro Station,Brookland-cua Metro Station,4.2,3.4,2.1,2.1
Landover Metro Station,Fort Totten Metro Station,4.5,3.65,2.25,2.25
Landover Metro Station,Prince George's Plaza Metro Station,4.65,3.8,2.3,2.3
Landover Metro Station,West Hyattsville Metro Station,4.5,3.7,2.25,2.25
Landover Metro Station,Benning Road Metro Station,3.3,2.6,1.65,1.65
Landover Metro Station,Addison Road-seat Pleasant Metro Station,3.55,2.95,1.75,1.75
Landover Metro Station,Deanwood Metro Station,2.25,2,1.1,1.1
Landover Metro Station,New Carrollton Metro Station,2.25,2,1.1,1.1
Landover Metro Station,Landover Metro Station,0,0,0,0
Landover Metro Station,Cheverly Metro Station,2.25,2,1.1,1.1
Landover Metro Station,Largo Town Center Metro Station,4,3.3,2,2
Landover Metro Station,Noma Metro,4.05,3.35,2,2
Landover Metro Station,Rosslyn Metro Station,4.75,3.85,2.35,2.35
Landover Metro Station,Arlington Cemetery Metro Station,4.7,3.85,2.35,2.35
Landover Metro Station,Dupont Circle Metro Station,4.3,3.4,2.15,2.15
Landover Metro Station,Pentagon Metro Station,4.5,3.7,2.25,2.25
Landover Metro Station,Crystal City Metro Station,4.75,3.85,2.35,2.35
Landover Metro Station,Navy Yard Metro Station,4,3.3,2,2
Landover Metro Station,Mcpherson Square Metro Station,4.15,3.4,2.05,2.05
Landover Metro Station,Shaw-howard U Metro,4.05,3.35,2,2
Landover Metro Station,Southern Ave Metro Station,4.6,3.75,2.3,2.3
Landover Metro Station,Greenbelt Metro Station,5.5,3.85,2.75,2.75
Landover Metro Station,Tenleytown-au Metro Station,5.1,3.85,2.55,2.55
Landover Metro Station,West Falls Church Metro Station,6,3.85,3,3
Landover Metro Station,Dunn Loring-merrifield Metro Station,6,3.85,3,3
Landover Metro Station,Vienna Metro Station,6,3.85,3,3
Landover Metro Station,Friendship Heights Metro Station,5.25,3.85,2.6,2.6
Landover Metro Station,Shady Grove Metro Station,6,3.85,3,3
Landover Metro Station,Rockville Metro Station,6,3.85,3,3
Landover Metro Station,Twinbrook Metro Station,6,3.85,3,3
Landover Metro Station,White Flint Metro Station,6,3.85,3,3
Landover Metro Station,Grosvenor-strathmore Metro Station,6,3.85,3,3
Landover Metro Station,Medical Center Metro Station,5.85,3.85,2.9,2.9
Landover Metro Station,Bethesda Metro Station,5.65,3.85,2.8,2.8
Landover Metro Station,Foggy Bottom-gwu Metro Station,4.4,3.6,2.2,2.2
Landover Metro Station,Court House Metro Station,5.05,3.85,2.5,2.5
Landover Metro Station,Clarendon Metro Station,5.2,3.85,2.6,2.6
Landover Metro Station,East Falls Church Metro Station,6,3.85,3,3
Landover Metro Station,Virginia Square-gmu Metro Station,5.35,3.85,2.65,2.65
Landover Metro Station,Ballston-mu Metro Station,5.5,3.85,2.75,2.75
Landover Metro Station,Farragut West Metro Station,4.25,3.4,2.1,2.1
Landover Metro Station,Farragut North Metro Station,4.25,3.4,2.1,2.1
Landover Metro Station,Woodley Park-zoo Metro,4.55,3.7,2.25,2.25
Landover Metro Station,L'enfant Plaza Metro Station,3.9,3.2,1.95,1.95
Landover Metro Station,Smithsonian Metro Station,4,3.3,2,2
Landover Metro Station,Pentagon City Metro Station,4.65,3.8,2.3,2.3
Landover Metro Station,Federal Triangle Metro Station,4,3.3,2,2
Landover Metro Station,Archives-navy Memorial Metro Station,3.95,3.25,1.95,1.95
Landover Metro Station,Waterfront Metro Station,4,3.3,2,2
Landover Metro Station,National Airport Metro Station,4.8,3.85,2.4,2.4
Landover Metro Station,Van Dorn Street Metro Station,6,3.85,3,3
Landover Metro Station,Franconia-springfield Metro Station,6,3.85,3,3
Landover Metro Station,Federal Center Sw Metro Station,3.8,3.15,1.9,1.9
Landover Metro Station,Judiciary Square Metro Station,4,3.3,2,2
Landover Metro Station,Capitol South Metro Station,3.65,3.05,1.8,1.8
Landover Metro Station,Metro Center,4.05,3.35,2,2
Landover Metro Station,Gallery Pl-chinatown Metro Station,3.95,3.3,1.95,1.95
Landover Metro Station,Mount Vernon Square Metro Station,4,3.35,2,2
Landover Metro Station,U Street Metro Station,4.2,3.4,2.1,2.1
Landover Metro Station,Union Station Metro Station,4,3.3,2,2
Landover Metro Station,Congress Heights Metro Station,4.45,3.65,2.2,2.2
Landover Metro Station,Naylor Road Metro Station,4.6,3.75,2.3,2.3
Landover Metro Station,Suitland Metro Station,4.8,3.85,2.4,2.4
Landover Metro Station,Branch Ave Metro Station,5.2,3.85,2.6,2.6
Landover Metro Station,Braddock Road Metro Station,5.55,3.85,2.75,2.75
Landover Metro Station,King Street Metro Station,5.7,3.85,2.85,2.85
Landover Metro Station,Eisenhower Avenue Metro Station,5.9,3.85,2.95,2.95
Landover Metro Station,Huntington Metro Station,6,3.85,3,3
Landover Metro Station,Anacostia Metro Station,4.2,3.4,2.1,2.1
Landover Metro Station,Eastern Market Metro Station,3.5,2.6,1.75,1.75
Landover Metro Station,Potomac Ave Metro Station,3.35,2.6,1.65,1.65
Landover Metro Station,Stadium-armory Metro Station,3.15,2.6,1.55,1.55
Landover Metro Station,Rhode Island Ave Metro Station,4.1,3.4,2.05,2.05
Landover Metro Station,Minnesota Ave Metro Station,2.55,2.2,1.25,1.25
Landover Metro Station,Van Ness-udc Metro Station,4.8,3.85,2.4,2.4
Landover Metro Station,Cleveland Park Metro Station,4.7,3.8,2.35,2.35
Landover Metro Station,Columbia Heights Metro Station,4.35,3.4,2.15,2.15
Landover Metro Station,Spring Hill Metro Station,6,3.85,3,3
Landover Metro Station,Greensboro Metro Station,6,3.85,3,3
Landover Metro Station,Tysons Corner Metro Station,6,3.85,3,3
Landover Metro Station,Mclean Metro Station,6,3.85,3,3
Landover Metro Station,Wiehle-reston East Metro Station,6,3.85,3,3
Cheverly Metro Station,College Park-u Of Md Metro Station,4.7,3.85,2.35,2.35
Cheverly Metro Station,Capitol Heights Metro Station,2.9,2.5,1.45,1.45
Cheverly Metro Station,Morgan Boulevard Metro Station,3.5,2.6,1.75,1.75
Cheverly Metro Station,Georgia Ave-petworth Metro Station,3.95,3.3,1.95,1.95
Cheverly Metro Station,Takoma Metro Station,4.6,3.75,2.3,2.3
Cheverly Metro Station,Glenmont Metro Station,6,3.85,3,3
Cheverly Metro Station,Wheaton Metro Station,5.85,3.85,2.9,2.9
Cheverly Metro Station,Forest Glen Metro Station,5.45,3.85,2.7,2.7
Cheverly Metro Station,Silver Spring Metro Station,5,3.85,2.5,2.5
Cheverly Metro Station,Brookland-cua Metro Station,3.8,3.15,1.9,1.9
Cheverly Metro Station,Fort Totten Metro Station,4.1,3.4,2.05,2.05
Cheverly Metro Station,Prince George's Plaza Metro Station,4.35,3.4,2.15,2.15
Cheverly Metro Station,West Hyattsville Metro Station,4.2,3.4,2.1,2.1
Cheverly Metro Station,Benning Road Metro Station,2.7,2.35,1.35,1.35
Cheverly Metro Station,Addison Road-seat Pleasant Metro Station,3.15,2.6,1.55,1.55
Cheverly Metro Station,Deanwood Metro Station,2.25,2,1.1,1.1
Cheverly Metro Station,New Carrollton Metro Station,2.35,2.05,1.15,1.15
Cheverly Metro Station,Landover Metro Station,2.25,2,1.1,1.1
Cheverly Metro Station,Cheverly Metro Station,0,0,0,0
Cheverly Metro Station,Largo Town Center Metro Station,3.8,3.15,1.9,1.9
Cheverly Metro Station,Noma Metro,3.55,2.95,1.75,1.75
Cheverly Metro Station,Rosslyn Metro Station,4.25,3.4,2.1,2.1
Cheverly Metro Station,Arlington Cemetery Metro Station,4.2,3.4,2.1,2.1
Cheverly Metro Station,Dupont Circle Metro Station,3.85,3.2,1.9,1.9
Cheverly Metro Station,Pentagon Metro Station,4,3.3,2,2
Cheverly Metro Station,Crystal City Metro Station,4.2,3.4,2.1,2.1
Cheverly Metro Station,Navy Yard Metro Station,3.5,2.6,1.75,1.75
Cheverly Metro Station,Mcpherson Square Metro Station,3.65,3.05,1.8,1.8
Cheverly Metro Station,Shaw-howard U Metro,3.6,3,1.8,1.8
Cheverly Metro Station,Southern Ave Metro Station,4.1,3.4,2.05,2.05
Cheverly Metro Station,Greenbelt Metro Station,5.35,3.85,2.65,2.65
Cheverly Metro Station,Tenleytown-au Metro Station,4.7,3.8,2.35,2.35
Cheverly Metro Station,West Falls Church Metro Station,6,3.85,3,3
Cheverly Metro Station,Dunn Loring-merrifield Metro Station,6,3.85,3,3
Cheverly Metro Station,Vienna Metro Station,6,3.85,3,3
Cheverly Metro Station,Friendship Heights Metro Station,4.85,3.85,2.4,2.4
Cheverly Metro Station,Shady Grove Metro Station,6,3.85,3,3
Cheverly Metro Station,Rockville Metro Station,6,3.85,3,3
Cheverly Metro Station,Twinbrook Metro Station,6,3.85,3,3
Cheverly Metro Station,White Flint Metro Station,6,3.85,3,3
Cheverly Metro Station,Grosvenor-strathmore Metro Station,6,3.85,3,3
Cheverly Metro Station,Medical Center Metro Station,5.5,3.85,2.75,2.75
Cheverly Metro Station,Bethesda Metro Station,5.25,3.85,2.6,2.6
Cheverly Metro Station,Foggy Bottom-gwu Metro Station,3.9,3.25,1.95,1.95
Cheverly Metro Station,Court House Metro Station,4.55,3.75,2.25,2.25
Cheverly Metro Station,Clarendon Metro Station,4.7,3.85,2.35,2.35
Cheverly Metro Station,East Falls Church Metro Station,5.7,3.85,2.85,2.85
Cheverly Metro Station,Virginia Square-gmu Metro Station,4.85,3.85,2.4,2.4
Cheverly Metro Station,Ballston-mu Metro Station,5,3.85,2.5,2.5
Cheverly Metro Station,Farragut West Metro Station,3.75,3.15,1.85,1.85
Cheverly Metro Station,Farragut North Metro Station,3.75,3.1,1.85,1.85
Cheverly Metro Station,Woodley Park-zoo Metro,4.1,3.35,2.05,2.05
Cheverly Metro Station,L'enfant Plaza Metro Station,3.35,2.6,1.65,1.65
Cheverly Metro Station,Smithsonian Metro Station,3.5,2.6,1.75,1.75
Cheverly Metro Station,Pentagon City Metro Station,4.15,3.4,2.05,2.05
Cheverly Metro Station,Federal Triangle Metro Station,3.5,2.6,1.75,1.75
Cheverly Metro Station,Archives-navy Memorial Metro Station,3.4,2.6,1.7,1.7
Cheverly Metro Station,Waterfront Metro Station,3.5,2.6,1.75,1.75
Cheverly Metro Station,National Airport Metro Station,4.25,3.4,2.1,2.1
Cheverly Metro Station,Van Dorn Street Metro Station,6,3.85,3,3
Cheverly Metro Station,Franconia-springfield Metro Station,6,3.85,3,3
Cheverly Metro Station,Federal Center Sw Metro Station,3.3,2.6,1.65,1.65
Cheverly Metro Station,Judiciary Square Metro Station,3.5,2.6,1.75,1.75
Cheverly Metro Station,Capitol South Metro Station,3.1,2.6,1.55,1.55
Cheverly Metro Station,Metro Center,3.55,2.95,1.75,1.75
Cheverly Metro Station,Gallery Pl-chinatown Metro Station,3.45,2.6,1.7,1.7
Cheverly Metro Station,Mount Vernon Square Metro Station,3.55,2.95,1.75,1.75
Cheverly Metro Station,U Street Metro Station,3.7,3.1,1.85,1.85
Cheverly Metro Station,Union Station Metro Station,3.5,2.6,1.75,1.75
Cheverly Metro Station,Congress Heights Metro Station,3.95,3.3,1.95,1.95
